test_number,avg_lat_ms,tests,devices,centroid_lat,centroid_lon,city,avg_d_speed_mbps,avg_u_speed_mbps
0,4,1,1,27.56915615,27.56744385,Qaşr al Farāfirah,91.528,94.732
1,17,1,1,27.13492408,27.92449951,Qaşr al Farāfirah,76.459,64.054
2,13,7,3,27.06157167,27.87506104,Qaşr al Farāfirah,24.891,15.299
3,14,4,2,27.06646332,27.89154053,Qaşr al Farāfirah,36.193,56.719
4,11,10,2,27.06157167,27.89154053,Qaşr al Farāfirah,101.906,80.136
5,19,3,2,27.06157167,27.96844482,Qaşr al Farāfirah,19.036,3.546
6,26,1,1,27.06646332,27.97393799,Qaşr al Farāfirah,2.456,3.851
7,19,1,1,31.5247027,30.78643799,Disūq,1.537,1.885
8,155,5,1,31.4497534,30.62164307,Rosetta,1.691,0.341
9,24,1,1,31.4497534,30.62713623,Rosetta,3.032,0.362
10,53,8,2,31.39819093,30.75897217,Disūq,24.689,3.138
11,142,7,1,31.3653637,,Disūq,14.098,4.639
12,28,1,1,31.3653637,30.7699585,Disūq,5.366,7.242
13,24,9,2,31.3653637,30.80291748,Disūq,3.542,0.636
14,94,2,1,31.35598239,30.80291748,Disūq,3.129,0.504
15,93,1,1,31.3653637,30.91278076,Kafr ash Shaykh,6.762,0.454
16,28,1,1,31.36067316,30.9072876,Kafr ash Shaykh,8.997,3.859
17,11,2,2,31.35598239,30.91278076,Kafr ash Shaykh,9.114,2.392
18,16,9,2,31.36067316,30.93475342,Kafr ash Shaykh,12.806,0.834
19,37,1,1,31.32783282,30.58319092,Disūq,4.944,0.159
20,25,12,1,31.32783282,30.58868408,Disūq,11.413,1.556
21,292,3,1,31.332525,30.60516357,Disūq,3.11,0.515
22,34,7,1,31.31844777,30.59967041,Disūq,3.201,0.652
23,7,1,1,31.332525,30.67108154,Disūq,37.011,4.846
24,199,44,2,31.29498103,30.61065674,Disūq,1.296,0.309
25,99,2,1,31.29028698,30.6161499,Disūq,0.801,0.346
26,78,5,2,31.28559269,30.62164307,Disūq,8.681,1.052
27,77,1,1,31.29967484,30.67108154,Disūq,6.028,0.372
28,28,2,1,31.28559269,30.63262939,Disūq,5.11,0.691
29,32,6,1,31.28559269,30.63812256,Disūq,5.748,0.923
30,6,1,1,31.28089818,30.63262939,Disūq,17.018,2.934
31,24,3,3,31.28089818,30.63812256,Disūq,8.169,1.121
32,179,3,1,31.28559269,30.64910889,Disūq,3.132,0.314
33,24,7,1,31.28089818,30.64361572,Disūq,8.536,0.441
34,92,22,3,31.28089818,30.64910889,Disūq,4.509,0.698
35,62,7,1,31.29498103,30.67108154,Disūq,5.042,1.762
36,278,2,1,31.28559269,30.65460205,Disūq,4.319,0.401
37,15,32,3,31.34660014,30.6930542,Disūq,20.72,4.241
